No,Title,Artist,From,Got,Sorted,location,filename
535,Excuse Me Mr.,No Doubt,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/No Doubt - Excuse Me Mr.,No Doubt - Excuse Me Mr.
536,Hella Good,No Doubt,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/No Doubt - Hella Good,No Doubt - Hella Good
537,Hey Baby,No Doubt,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/No Doubt - Hey Baby,No Doubt - Hey Baby
538,It's My Life,No Doubt,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/No Doubt - It's My Life,No Doubt - It's My Life
539,Just a Girl,No Doubt,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/No Doubt - Just a Girl,No Doubt - Just a Girl
540,Running,No Doubt,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/No Doubt - Running,No Doubt - Running
541,Simple Kind of Life,No Doubt,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/No Doubt - Simple Kind of Life,No Doubt - Simple Kind of Life
542,Spiderwebs,No Doubt,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/No Doubt - Spiderwebs,No Doubt - Spiderwebs
543,Sunday Morning,No Doubt,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/No Doubt - Sunday Morning,No Doubt - Sunday Morning
544,Underneath It All,No Doubt,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/No Doubt - Underneath It All,No Doubt - Underneath It All
545,Complete Control,The Clash,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Clash - Complete Control,The Clash - Complete Control
546,Sex Type Thing,Stone Temple Pilots,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Stone Temple Pilots - Sex Type Thing,Stone Temple Pilots - Sex Type Thing
547,The Collector,Nine Inch Nails,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Nine Inch Nails - The Collector,Nine Inch Nails - The Collector
548,Roam,The B-52's,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The B-52's - Roam,The B-52's - Roam
549,Limelight,Rush,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Rush - Limelight,Rush - Limelight
550,Hard to Handle,The Black Crowes,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Black Crowes - Hard to Handle,The Black Crowes - Hard to Handle
551,Action,Sweet,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Sweet - Action,Sweet - Action
552,Last Train to Clarksville,The Monkees,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Monkees - Last Train to Clarksville,The Monkees - Last Train to Clarksville
553,Don't Look Back in Anger,Oasis,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Oasis - Don't Look Back in Anger,Oasis - Don't Look Back in Anger
554,Wonderwall,Oasis,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Oasis - Wonderwall,Oasis - Wonderwall
555,Ten Speed (Of God's Blood and Burial),Coheed and Cambria,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Coheed and Cambria - Ten Speed (Of God's Blood and Burial),Coheed and Cambria - Ten Speed (Of God's Blood and Burial)
556,Working Man,Rush,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Rush - Working Man,Rush - Working Man
557,The Number of the Beast,Iron Maiden,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Iron Maiden - The Number of the Beast,Iron Maiden - The Number of the Beast
558,Down at the Whisky,Mötley Crüe,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Mötley Crüe - Down at the Whisky,Mötley Crüe - Down at the Whisky
559,Who's Going Home with You Tonight?,Trapt,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Trapt - Who's Going Home with You Tonight?,Trapt - Who's Going Home with You Tonight?
560,Promised Land,Vesuvius,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Vesuvius - Promised Land,Vesuvius - Promised Land
561,Amazing Journey,The Who,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Who - Amazing Journey,The Who - Amazing Journey
562,Eminence Front,The Who,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Who - Eminence Front,The Who - Eminence Front
563,Going Mobile,The Who,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Who - Going Mobile,The Who - Going Mobile
564,Leaving Here,The Who,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Who - Leaving Here,The Who - Leaving Here
565,My Generation (Live at Leeds),The Who,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Who - My Generation (Live at Leeds),The Who - My Generation (Live at Leeds)
566,Real Good Looking Boy,The Who,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Who - Real Good Looking Boy,The Who - Real Good Looking Boy
567,Sea and Sand,The Who,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Who - Sea and Sand,The Who - Sea and Sand
568,Summertime Blues (Live at Leeds),The Who,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Who - Summertime Blues (Live at Leeds),The Who - Summertime Blues (Live at Leeds)
569,Who Are You,The Who,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Who - Who Are You,The Who - Who Are You
570,Young Man Blues (Live at Leeds),The Who,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Who - Young Man Blues (Live at Leeds),The Who - Young Man Blues (Live at Leeds)
571,Burn,Nine Inch Nails,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Nine Inch Nails - Burn,Nine Inch Nails - Burn
572,Capital G,Nine Inch Nails,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Nine Inch Nails - Capital G,Nine Inch Nails - Capital G
573,Last,Nine Inch Nails,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Nine Inch Nails - Last,Nine Inch Nails - Last
574,Devour,Shinedown,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Shinedown - Devour,Shinedown - Devour
575,Junkies for Fame,Shinedown,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Shinedown - Junkies for Fame,Shinedown - Junkies for Fame
576,They Say ,Scars on Broadway,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Scars on Broadway - They Say ,Scars on Broadway - They Say 
577,This Is It,Staind,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Staind - This Is It,Staind - This Is It
578,Electric Crown,Testament,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Testament - Electric Crown,Testament - Electric Crown
579,Yomp,Thenewno2,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Thenewno2 - Yomp,Thenewno2 - Yomp
580,Tell Me Baby,Red Hot Chili Peppers,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Red Hot Chili Peppers - Tell Me Baby,Red Hot Chili Peppers - Tell Me Baby
581,Working Man (Vault Edition),Rush,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Rush - Working Man (Vault Edition),Rush - Working Man (Vault Edition)
582,Moving to Seattle,The Material,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Material - Moving to Seattle,The Material - Moving to Seattle
583,A Clean Shot,The Myriad,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Myriad - A Clean Shot,The Myriad - A Clean Shot
584,Bullets & Guns,Them Terribles,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Them Terribles - Bullets & Guns,Them Terribles - Bullets & Guns
585,Critical Acclaim,Avenged Sevenfold,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Avenged Sevenfold - Critical Acclaim,Avenged Sevenfold - Critical Acclaim
586,Rock n' Roll Dream,Crooked X,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Crooked X - Rock n' Roll Dream,Crooked X - Rock n' Roll Dream
587,Hammerhead,The Offspring,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Offspring - Hammerhead,The Offspring - Hammerhead
588,Crackity Jones,Pixies,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pixies - Crackity Jones,Pixies - Crackity Jones
589,Dead,Pixies,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pixies - Dead,Pixies - Dead
590,Debaser,Pixies,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pixies - Debaser,Pixies - Debaser
591,Gouge Away,Pixies,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pixies - Gouge Away,Pixies - Gouge Away
592,Here Comes Your Man,Pixies,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pixies - Here Comes Your Man,Pixies - Here Comes Your Man
593,Hey,Pixies,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pixies - Hey,Pixies - Hey
594,I Bleed,Pixies,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pixies - I Bleed,Pixies - I Bleed
595,La La Love You,Pixies,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pixies - La La Love You,Pixies - La La Love You
596,Mr. Grieves,Pixies,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pixies - Mr. Grieves,Pixies - Mr. Grieves
597,No. 13 Baby,Pixies,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pixies - No. 13 Baby,Pixies - No. 13 Baby
598,Silver,Pixies,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pixies - Silver,Pixies - Silver
599,Tame,Pixies,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pixies - Tame,Pixies - Tame
600,There Goes My Gun,Pixies,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pixies - There Goes My Gun,Pixies - There Goes My Gun
601,Dreamin',Weezer,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Weezer - Dreamin',Weezer - Dreamin'
602,The Greatest Man That Ever Lived,Weezer,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Weezer - The Greatest Man That Ever Lived,Weezer - The Greatest Man That Ever Lived
603,Troublemaker,Weezer,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Weezer - Troublemaker,Weezer - Troublemaker
604,Inside the Fire,Disturbed,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Disturbed - Inside the Fire,Disturbed - Inside the Fire
605,Perfect Insanity,Disturbed,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Disturbed - Perfect Insanity,Disturbed - Perfect Insanity
606,Cheeseburger in Paradise,Jimmy Buffett,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Jimmy Buffett - Cheeseburger in Paradise,Jimmy Buffett - Cheeseburger in Paradise
607,Margaritaville,Jimmy Buffett,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Jimmy Buffett - Margaritaville,Jimmy Buffett - Margaritaville
608,Volcano,Jimmy Buffett,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Jimmy Buffett - Volcano,Jimmy Buffett - Volcano
609,Beethoven's C***,Serj Tankian,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Serj Tankian - Beethoven's C***,Serj Tankian - Beethoven's C***
610,Hitch a Ride,Boston,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Boston - Hitch a Ride,Boston - Hitch a Ride
611,Smokin',Boston,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Boston - Smokin',Boston - Smokin'
612,Something About You,Boston,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Boston - Something About You,Boston - Something About You
613,Casey Jones,Grateful Dead,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Grateful Dead - Casey Jones,Grateful Dead - Casey Jones
614,China Cat Sunflower,Grateful Dead,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Grateful Dead - China Cat Sunflower,Grateful Dead - China Cat Sunflower
615,Franklin's Tower,Grateful Dead,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Grateful Dead - Franklin's Tower,Grateful Dead - Franklin's Tower
616,I Need a Miracle,Grateful Dead,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Grateful Dead - I Need a Miracle,Grateful Dead - I Need a Miracle
617,Sugar Magnolia,Grateful Dead,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Grateful Dead - Sugar Magnolia,Grateful Dead - Sugar Magnolia
618,Hanging on the Telephone,Blondie,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Blondie - Hanging on the Telephone,Blondie - Hanging on the Telephone
619,Kool Thing,Sonic Youth,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Sonic Youth - Kool Thing,Sonic Youth - Kool Thing
620,Train in Vain (Stand by Me),The Clash,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Clash - Train in Vain (Stand by Me),The Clash - Train in Vain (Stand by Me)
621,All Mixed Up,The Cars,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Cars - All Mixed Up,The Cars - All Mixed Up
622,Bye Bye Love,The Cars,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Cars - Bye Bye Love,The Cars - Bye Bye Love
623,Don't Cha Stop,The Cars,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Cars - Don't Cha Stop,The Cars - Don't Cha Stop
624,Good Times Roll,The Cars,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Cars - Good Times Roll,The Cars - Good Times Roll
625,I'm in Touch with Your World,The Cars,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Cars - I'm in Touch with Your World,The Cars - I'm in Touch with Your World
626,Moving in Stereo,The Cars,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Cars - Moving in Stereo,The Cars - Moving in Stereo
627,My Best Friend's Girl,The Cars,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Cars - My Best Friend's Girl,The Cars - My Best Friend's Girl
628,You're All I've Got Tonight,The Cars,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Cars - You're All I've Got Tonight,The Cars - You're All I've Got Tonight
629,Date with the Night,Yeah Yeah Yeahs,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Yeah Yeah Yeahs - Date with the Night,Yeah Yeah Yeahs - Date with the Night
630,Doll,Foo Fighters,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - Doll,Foo Fighters - Doll
631,Enough Space,Foo Fighters,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - Enough Space,Foo Fighters - Enough Space
632,February Stars,Foo Fighters,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - February Stars,Foo Fighters - February Stars
633,"Hey, Johnny Park!",Foo Fighters,RockBand1DLC,Yes,Yes,"/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - Hey, Johnny Park!","Foo Fighters - Hey, Johnny Park!"
634,Monkey Wrench,Foo Fighters,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - Monkey Wrench,Foo Fighters - Monkey Wrench
635,My Hero,Foo Fighters,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - My Hero,Foo Fighters - My Hero
636,My Poor Brain,Foo Fighters,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - My Poor Brain,Foo Fighters - My Poor Brain
637,New Way Home,Foo Fighters,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - New Way Home,Foo Fighters - New Way Home
638,See You,Foo Fighters,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - See You,Foo Fighters - See You
639,Up in Arms,Foo Fighters,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - Up in Arms,Foo Fighters - Up in Arms
640,Walking After You,Foo Fighters,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - Walking After You,Foo Fighters - Walking After You
641,Wind Up,Foo Fighters,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - Wind Up,Foo Fighters - Wind Up
642,Gone,Crooked X,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Crooked X - Gone,Crooked X - Gone
643,Police Truck,Dead Kennedys,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Dead Kennedys - Police Truck,Dead Kennedys - Police Truck
644,Swamped,Lacuna Coil,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Lacuna Coil - Swamped,Lacuna Coil - Swamped
645,Mica,Mission of Burma,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Mission of Burma - Mica,Mission of Burma - Mica
646,That's How I Escaped My Certain Fate,Mission of Burma,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Mission of Burma - That's How I Escaped My Certain Fate,Mission of Burma - That's How I Escaped My Certain Fate
647,That's When I Reach for My Revolver,Mission of Burma,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Mission of Burma - That's When I Reach for My Revolver,Mission of Burma - That's When I Reach for My Revolver
648,Fortunate Son,Creedence Clearwater Revival,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Creedence Clearwater Revival - Fortunate Son,Creedence Clearwater Revival - Fortunate Son
649,Juke Box Hero,Foreigner,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foreigner - Juke Box Hero,Foreigner - Juke Box Hero
650,...And Justice for All,Metallica,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Metallica - ...And Justice for All,Metallica - ...And Justice for All
651,Blackened,Metallica,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Metallica - Blackened,Metallica - Blackened
652,Ride the Lightning,Metallica,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Metallica - Ride the Lightning,Metallica - Ride the Lightning
653,"Sick, Sick, Sick",Queens of the Stone Age,RockBand1DLC,Yes,Yes,"/media/gary/exData/xbox/RockBand/ToSort/Queens of the Stone Age - Sick, Sick, Sick","Queens of the Stone Age - Sick, Sick, Sick"
654,Bang a Gong,T. Rex,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/T. Rex - Bang a Gong,T. Rex - Bang a Gong
655,My Sharona,The Knack,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Knack - My Sharona,The Knack - My Sharona
656,Roxanne,The Police,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Police - Roxanne,The Police - Roxanne
657,Cherry Bomb,The Runaways,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Runaways - Cherry Bomb,The Runaways - Cherry Bomb
658,Jesus Christ Pose,Soundgarden,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Soundgarden - Jesus Christ Pose,Soundgarden - Jesus Christ Pose
659,Pretty Noose,Soundgarden,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Soundgarden - Pretty Noose,Soundgarden - Pretty Noose
660,Mr. Brightside,The Killers,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Killers - Mr. Brightside,The Killers - Mr. Brightside
661,Smile Like You Mean It,The Killers,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Killers - Smile Like You Mean It,The Killers - Smile Like You Mean It
662,Spaceman,The Killers,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Killers - Spaceman,The Killers - Spaceman
663,Caprici Di Diablo,Yngwie Malmsteen's Rising Force,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Yngwie Malmsteen's Rising Force - Caprici Di Diablo,Yngwie Malmsteen's Rising Force - Caprici Di Diablo
664,Damnation Game,Yngwie Malmsteen's Rising Force,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Yngwie Malmsteen's Rising Force - Damnation Game,Yngwie Malmsteen's Rising Force - Damnation Game
665,Red Devil,Yngwie Malmsteen's Rising Force,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Yngwie Malmsteen's Rising Force - Red Devil,Yngwie Malmsteen's Rising Force - Red Devil
666,Heroes,David Bowie,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/David Bowie - Heroes,David Bowie - Heroes
667,Queen Bitch,David Bowie,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/David Bowie - Queen Bitch,David Bowie - Queen Bitch
668,I Don't Care,Fall Out Boy,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Fall Out Boy - I Don't Care,Fall Out Boy - I Don't Care
669,Use Me,Hinder,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Hinder - Use Me,Hinder - Use Me
670,Dune Buggy,The Presidents of theUnited States of America,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Presidents of theUnited States of America - Dune Buggy,The Presidents of theUnited States of America - Dune Buggy
671,Feather Pluck'n,The Presidents of theUnited States of America,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Presidents of theUnited States of America - Feather Pluck'n,The Presidents of theUnited States of America - Feather Pluck'n
672,Ladybug,The Presidents of theUnited States of America,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Presidents of theUnited States of America - Ladybug,The Presidents of theUnited States of America - Ladybug
673,No Regrets,Authority Zero,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Authority Zero - No Regrets,Authority Zero - No Regrets
674,Prequel to the Sequel,Between the Buried and Me,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Between the Buried and Me - Prequel to the Sequel,Between the Buried and Me - Prequel to the Sequel
675,Give It to Me,Cocktail Slippers,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Cocktail Slippers - Give It to Me,Cocktail Slippers - Give It to Me
676,Database Corrupted,Dealership,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Dealership - Database Corrupted,Dealership - Database Corrupted
677,I Wanna Be Your Man,Endeverafter,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Endeverafter - I Wanna Be Your Man,Endeverafter - I Wanna Be Your Man
678,Ashes to Fire,Ghost Hounds,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Ghost Hounds - Ashes to Fire,Ghost Hounds - Ashes to Fire
679,Young,Hollywood Undead,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Hollywood Undead - Young,Hollywood Undead - Young
680,The Feeling,Kutless,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Kutless - The Feeling,Kutless - The Feeling
681,"I'm Gone, I'm Going",Lesley Roy,RockBand1DLC,Yes,Yes,"/media/gary/exData/xbox/RockBand/ToSort/Lesley Roy - I'm Gone, I'm Going","Lesley Roy - I'm Gone, I'm Going"
682,Burn You Down,Opiate for the Masses,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Opiate for the Masses - Burn You Down,Opiate for the Masses - Burn You Down
683,Magnetic Baby,Semi Precious Weapons,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Semi Precious Weapons - Magnetic Baby,Semi Precious Weapons - Magnetic Baby
684,Like a Fool,Shaimus,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Shaimus - Like a Fool,Shaimus - Like a Fool
685,Sons and Daughters,The 88,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The 88 - Sons and Daughters,The 88 - Sons and Daughters
686,Bounce,The Cab,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Cab - Bounce,The Cab - Bounce
687,Get It On,The Chevelles,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Chevelles - Get It On,The Chevelles - Get It On
688,If I Ain't Got You,The Len Price 3,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Len Price 3 - If I Ain't Got You,The Len Price 3 - If I Ain't Got You
689,Crazy Tuesday,Thenewno2,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Thenewno2 - Crazy Tuesday,Thenewno2 - Crazy Tuesday
690,The Time Is Wrong,Tickle Me Pink,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Tickle Me Pink - The Time Is Wrong,Tickle Me Pink - The Time Is Wrong
691,"Desperate Times, Desperate Measures",Underoath,RockBand1DLC,Yes,Yes,"/media/gary/exData/xbox/RockBand/ToSort/Underoath - Desperate Times, Desperate Measures","Underoath - Desperate Times, Desperate Measures"
692,I.V.,X Japan,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/X Japan - I.V.,X Japan - I.V.
693,Don't Go Away Mad (Just Go Away),Mötley Crüe,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Mötley Crüe - Don't Go Away Mad (Just Go Away),Mötley Crüe - Don't Go Away Mad (Just Go Away)
694,Dr. Feelgood,Mötley Crüe,RockBand1DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Mötley Crüe - Dr. Feelgood,Mötley Crüe - Dr. Feelgood
