No,Title,Artist,From,Got,Sorted,location,filename
37,Here It Goes Again,OK Go,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/OK Go - Here It Goes Again,OK Go - Here It Goes Again
38,Wave of Mutilation,Pixies,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pixies - Wave of Mutilation,Pixies - Wave of Mutilation
39,New Wave,Pleymo,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pleymo - New Wave,Pleymo - New Wave
40,Go with the Flow,Queens of the Stone Age,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Queens of the Stone Age - Go with the Flow,Queens of the Stone Age - Go with the Flow
41,Orange Crush,R.E.M.,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/R.E.M. - Orange Crush,R.E.M. - Orange Crush
42,Creep,Radiohead,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Radiohead - Creep,Radiohead - Creep
43,Blitzkrieg Bop,Ramones,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Ramones - Blitzkrieg Bop,Ramones - Blitzkrieg Bop
44,Dani California,Red Hot Chili Peppers,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Red Hot Chili Peppers - Dani California,Red Hot Chili Peppers - Dani California
45,Tom Sawyer,Rush,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Rush - Tom Sawyer,Rush - Tom Sawyer
46,Cherub Rock,Smashing Pumpkins,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Smashing Pumpkins - Cherub Rock,Smashing Pumpkins - Cherub Rock
47,Black Hole Sun,Soundgarden,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Soundgarden - Black Hole Sun,Soundgarden - Black Hole Sun
48,Vasoline,Stone Temple Pilots,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Stone Temple Pilots - Vasoline,Stone Temple Pilots - Vasoline
49,Ballroom Blitz,Sweet,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Sweet - Ballroom Blitz,Sweet - Ballroom Blitz
50,"Day Late, Dollar Short",The Acro-Brats,RockBand1,Yes,Yes,"/media/gary/exData/xbox/RockBand/ToSort/The Acro-Brats - Day Late, Dollar Short","The Acro-Brats - Day Late, Dollar Short"
51,Should I Stay or Should I Go,The Clash,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Clash - Should I Stay or Should I Go,The Clash - Should I Stay or Should I Go
52,Main Offender,The Hives,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Hives - Main Offender,The Hives - Main Offender
53,When You Were Young,The Killers,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Killers - When You Were Young,The Killers - When You Were Young
54,29 Fingers,The Konks,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Konks - 29 Fingers,The Konks - 29 Fingers
55,Time We Had,The Mother Hips,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Mother Hips - Time We Had,The Mother Hips - Time We Had
56,Electric Version,The New Pornographers,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The New Pornographers - Electric Version,The New Pornographers - Electric Version
57,Green Grass and High Tides,The Outlaws,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Outlaws - Green Grass and High Tides,The Outlaws - Green Grass and High Tides
58,Next to You,The Police,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Police - Next to You,The Police - Next to You
59,Gimme Shelter,The Rolling Stones,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Rolling Stones - Gimme Shelter,The Rolling Stones - Gimme Shelter
60,Reptilia,The Strokes,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Strokes - Reptilia,The Strokes - Reptilia
61,Won't Get Fooled Again,The Who,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Who - Won't Get Fooled Again,The Who - Won't Get Fooled Again
62,Timmy & the Lords of the Underworld,Timmy & the Lords of the Underworld,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Timmy & the Lords of the Underworld - Timmy & the Lords of the Underworld,Timmy & the Lords of the Underworld - Timmy & the Lords of the Underworld
63,Monsoon,Tokio Hotel,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Tokio Hotel - Monsoon,Tokio Hotel - Monsoon
64,Outside,Tribe,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Tribe - Outside,Tribe - Outside
65,Seven,VAGIANT,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/VAGIANT - Seven,VAGIANT - Seven
66,Say It Ain't So,Weezer,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Weezer - Say It Ain't So,Weezer - Say It Ain't So
